Date,Year,Week,Sex,Freq,Temp
05/04/2011,2011,1,Female,4,70.9
05/04/2011,2011,1,Male,37,70.9
12/04/2011,2011,2,Female,2,61
12/04/2011,2011,2,Male,38,61
19/04/2011,2011,3,Female,1,53.4
19/04/2011,2011,3,Male,31,53.4
28/04/2011,2011,4,Female,6,69.1
28/04/2011,2011,4,Male,33,69.1
10/04/2012,2012,1,Female,4,71.4
10/04/2012,2012,1,Male,45,71.4
17/04/2012,2012,2,Female,6,63.9
17/04/2012,2012,2,Male,43,63.9
24/04/2012,2012,3,Female,6,74.7
24/04/2012,2012,3,Male,35,74.7
01/05/2012,2012,4,Female,6,75
01/05/2012,2012,4,Male,31,75
25/04/2013,2013,1,Female,4,59.4
25/04/2013,2013,1,Male,22,59.4
30/04/2013,2013,2,Female,5,54.3
30/04/2013,2013,2,Male,9,54.3
09/05/2013,2013,3,Female,2,57
09/05/2013,2013,3,Male,17,57
16/05/2013,2013,4,Female,3,79
16/05/2013,2013,4,Male,18,79
01/04/2014,2014,1,Female,5,54.9
01/04/2014,2014,1,Male,41,54.9
08/04/2014,2014,2,Female,5,68.4
08/04/2014,2014,2,Male,46,68.4
15/04/2014,2014,3,Female,6,62.1
15/04/2014,2014,3,Male,44,62.1
22/04/2014,2014,4,Female,6,73.8
22/04/2014,2014,4,Male,37,73.8
01/05/2014,2014,5,Female,2,59.4
01/05/2014,2014,5,Male,17,59.4
07/04/2015,2015,1,Female,9,60.1
07/04/2015,2015,1,Male,34,60.1
14/04/2015,2015,2,Female,8,70.2
14/04/2015,2015,2,Male,40,70.2
21/04/2015,2015,3,Female,8,60.6
21/04/2015,2015,3,Male,43,60.6
28/04/2015,2015,4,Female,9,60.3
28/04/2015,2015,4,Male,43,60.3
