Date,Year,Week,temp,wind_speed,wind_gust,wind_direction,wind_degrees
05/04/2011,2011,1,70.9,8.6,19.2,NW,270
12/04/2011,2011,2,61,2.6,6.2,SW,225
19/04/2011,2011,3,53.4,16.5,19.9,WNW,284
28/04/2011,2011,4,69.1,12.9,12.9,SW,225
10/04/2012,2012,1,71.4,3.1,6.2,S,180
17/04/2012,2012,2,63.9,14.3,14.3,NNE,23
24/04/2012,2012,3,74.7,14.1,14.9,NNW,327
01/05/2012,2012,4,75,5,13.1,SW,227
25/04/2013,2013,1,59.4,1.8,5.5,SSW,195
30/04/2013,2013,2,54.3,6,7.6,ESE,113
09/05/2013,2013,3,57,3.1,6.9,W,273
16/05/2013,2013,4,79,15.8,18.3,NNW,338
01/04/2014,2014,1,54.9,2.3,7.1,E,87
08/04/2014,2014,2,68.4,7.2,9.6,SSW,196
15/04/2014,2014,3,62.1,4.6,4.6,NE,45
22/04/2014,2014,4,73.8,2.6,6.7,SW,225
01/05/2014,2014,5,59.4,11.6,13.4,NNE,23
07/04/2015,2015,1,60.1,5.1,6.9,SE,135
14/04/2015,2015,2,70.2,11.1,11.1,S,180
21/04/2015,2015,3,60.6,0,1.7,NW,315
28/04/2015,2015,4,60.3,7.3,9.3,SSW,194
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
